Location,Lat/Long,Description,Image,Reference/Link,Other references
Thera Eruption,"36.40602029163723, 25.38904201859997",Proposed that the Atlantis story was inspired by the eruption of Thera in ca. 1600 BCE,https://en.wikipedia.org/wiki/Akrotiri_(prehistoric_city)#/media/File:Ancient_Akrotiri.jpeg,https://en.wikipedia.org/wiki/Minoan_eruption,
Lake Copais,"38.45016709504139, 23.0493133060594",,,https://www.jstor.org/stable/41662314,
Cyprus Basin,"34.87706249388692, 34.94111112939691","Claimed identification of man-made buildings using sonar appoximately 1,500 meters below surface off the coast of Cyprus ",,https://en.wikipedia.org/wiki/Minoan_eruption,"https://web.archive.org/web/20070912120429/http://www.discoveryofatlantis.com/ 
Sarmast, R., 2006, Discovery of Atlantis: The Startling Case for the Island of Cyprus. Origin Press, San Rafael, California. 195 pp."
Helike,"38.22204764178445, 22.13177822699771",The Atlantis story was proposed to be inspired the destruction of Helike by an earthquake and tsunami in 373 BCE,https://en.wikipedia.org/wiki/Helike#/media/File:Helikeausgrabungen.jpg/2,https://en.wikipedia.org/wiki/Helike,"Giovannini, A. (1985). ""Peut-on démythifier l'Atlantide?"". Museum Helveticum (in French). 42: 151–156."
Azore Islands,"37.84265994230866, -25.77893518428401","In his 1882 book Atlantis: the Antediluvian World, Ignatius L. Donnelly mapped the flooded continent of Atlantis as being located in the Atlantis Ocean opposed to the Mediterranean Sea possibly near the present day Azores Islands",https://en.wikipedia.org/wiki/Atlantis#/media/File:Atlantis_map_1882_crop.jpg,https://en.wikipedia.org/wiki/Atlantis:_The_Antediluvian_World,
Antarctica,"-77.42398133149753, 161.72479603946059","Claims Antarctica was habitable with in the last 10,000 years and home to Atlantis, but that earths crust shifted (Earth Crustal Displacement Theory) resulting in its destruction",,https://en.wikipedia.org/wiki/Proposed_locations_for_Atlantis,"Hancock, Graham Fingerprints of the Gods"
Sardinia,"39.09320937225617, 8.715717959555548",Atlantis is a submerged island whose reminant plateaus form Sardinia and Corsica,,https://en.wikipedia.org/wiki/Proposed_locations_for_Atlantis,"Usai, Luigi (2021). La mappa di Atlantide. Quartucciu, Sardinia"
Malta,"36.047164576360785, 14.269029379278004",Megalithic structures in Malta have been claimed to be remenant of Atlantis,,https://en.wikipedia.org/wiki/Proposed_locations_for_Atlantis,https://web.archive.org/web/20160306090502/https://www.atlantisinmalta.com/
Snake Island,"45.254913239145424, 30.20370121063824",Snake Island has been proposed as the former capital of Atlantis based on its position relative to the Danube Delta in the Black Sea,"https://en.wikipedia.org/wiki/Snake_Island_(Ukraine)#/media/File:%D0%A1%D0%B5%D0%BB%D0%B8%D1%89%D0%B5_%D0%91%D1%96%D0%BB%D0%B5,_%D0%BE%D1%81%D1%82%D1%80%D1%96%D0%B2_%D0%97%D0%BC%D1%96%D1%97%D0%BD%D0%B8%D0%B9_(2008).jpg",https://web.archive.org/web/20060211074851/http://www.black-sea-atlantis.com/black-sea-atlantis/,https://atlantipedia.ie/samples/tag/snake-island/
Doñana,"37.03587769847362, -6.439571464981795",Several researchers have claimed Atlantis lied in or near Donana National Park and the Guadalquivir River,https://en.wikipedia.org/wiki/Do%C3%B1ana_National_Park#/media/File:Wetlands_in_Donana.jpg,https://antiquity.ac.uk/projgall/kuhne300/,https://en.wikipedia.org/wiki/Proposed_locations_for_Atlantis
Spartel Bank/Island,"35.94015490748894, -5.704094109604485","Now submerged under 50+m of waters, some have proposed the Spartel Bank just west of the Straight of Gibraltar as the mythical location of Atlantis",https://commons.wikimedia.org/wiki/File:Strait_of_Gibraltar_perspective_multilang.svg,https://www.science.org/content/article/atlantis-rises-again,"https://doi.org/10.1130/G21597AR.1
https://en.wikipedia.org/wiki/Proposed_locations_for_Atlantis"
Richat Structure,"21.131040860420864, -11.398005536032654",The concentric structure of the Richat Structure has lead some to claim it is the remenant of the circular city layout described by Plato in the Atlantis myth,https://en.wikipedia.org/wiki/Richat_Structure#/media/File:Richat_Structure_ISS030-E-12516.jpg,https://en.wikipedia.org/wiki/Richat_Structure,https://www.google.com/books/edition/Meet_Me_in_Atlantis/4hTUCwAAQBAJ?hl=en&gbpv=1&pg=PA203&printsec=frontcover
Le Danois Bank,"44.083363627315066, -4.865379239744351",One researcher claims Atlantis was located on an now submerged plateau located off the coast of Northern Spain,,https://en.wikipedia.org/wiki/Proposed_locations_for_Atlantis ,
Irish Sea,"54.13817964101672, -4.362496633002408",Atlantis was located on a large island in the Irish Sea that was claimed to be innundated after a comet impact that shifted the Earth's pole around 5000 years ago,,https://en.wikipedia.org/wiki/Proposed_locations_for_Atlantis ,https://www.academia.edu/85268409/An_Atlantis_Miscellany
Ireland,"53.69469919517761, -6.4757062767092775","Others claim Ireland was the location of Atlantis, particularly in connection to the Megalithic tombs found dating to the Neolithic",,https://en.wikipedia.org/wiki/Proposed_locations_for_Atlantis,https://www.youtube.com/watch?v=6k_igac6AfU
Doggerland,"54.91677714834857, 1.5838053687892057","Some claim Atlantis was located in Doggerland, a portion of the North Sea that was flooded after the end of the last Ice Age",https://en.wikipedia.org/wiki/Doggerland#/media/File:Doggerland.png,https://en.wikipedia.org/wiki/Proposed_locations_for_Atlantis,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Previously compiled lists of locations,,,,,
https://en.wikipedia.org/wiki/Proposed_locations_for_Atlantis,,,,,
https://en.wikipedia.org/wiki/Atlantis,,,,,
https://www.popsci.com/story/science/where-atlantis-might-lie/,,,,,
